Entry	Status	Gene names	Subcellular location [CC]
Q9JJ80	reviewed	Rpf2 Bxdc1 MNCb-4285	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000250|UniProtKB:Q9H7B2}. Note=Associated with the nucleolus in an RNA-dependent manner. {ECO:0000250|UniProtKB:Q9H7B2}.
Q05921	reviewed	Rnasel Rns4	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11585831}. Mitochondrion {ECO:0000269|PubMed:11585831}.
Q80XJ2	reviewed	Rnf168	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|HAMAP-Rule:MF_03066}. Note=Localizes to double-strand breaks (DSBs) sites of DNA damage. {ECO:0000255|HAMAP-Rule:MF_03066}.
Q64008	reviewed	Rab34 Rab39 Rah Rah1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12475955}. Golgi apparatus {ECO:0000269|PubMed:12475955}. Cytoplasmic vesicle, phagosome {ECO:0000250|UniProtKB:Q9BZG1}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:Q9BZG1}; Lipid-anchor {ECO:0000250|UniProtKB:Q9BZG1}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9BZG1}. Cell projection, cilium {ECO:0000269|PubMed:29290584}. Note=Recruited to phagosomes containing S.aureus or Mycobacterium. {ECO:0000250|UniProtKB:Q9BZG1}.
Q8QZS5	reviewed	Rnf183	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:29300766}; Single-pass type IV membrane protein {ECO:0000250|UniProtKB:Q96D59}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q96D59}. Golgi apparatus, cis-Golgi network membrane {ECO:0000269|PubMed:29300766}. Lysosome membrane {ECO:0000269|PubMed:29300766}.
Q91VI7	reviewed	Rnh1 Rnh	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
P63325	reviewed	Rps10	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Nucleus, nucleolus {ECO:0000250}. Note=Localized in the granular component (GC) region of the nucleolus. Methylation is required for its localization in the GC region. Colocalizes with NPS1 in the GC region of the nucleolus (By similarity). {ECO:0000250}.
Q62172	reviewed	Ralbp1 Rip1	SUBCELLULAR LOCATION: Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}.
O35696	reviewed	St8sia2 Siat8b Stx	SUBCELLULAR LOCATION: Golgi apparatus membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q9R1C0	reviewed	Taf7 Taf2f	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10438527}.
Q3UPR0	reviewed	Shisa3	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q7T0Z7}; Single-pass type I membrane protein {ECO:0000255}.
Q8BLS7	reviewed	Sowaha Ankrd43	
Q8VI23	reviewed	Slc12a8 Ccc9	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q3TVW5	reviewed	Tchp	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}. Cytoplasm {ECO:0000250}. Cell membrane {ECO:0000250}. Mitochondrion {ECO:0000250}.
Q9DCD5	reviewed	Tjap1 Pilt Tjp4	SUBCELLULAR LOCATION: Golgi apparatus {ECO:0000269|PubMed:11602598}. Cell junction, tight junction {ECO:0000269|PubMed:11602598}. Note=Recruited to tight junctions (TJ) during late stages of maturation of the TJ complexes. Excluded from adherens junctions and desmosomes.
Q810U2	reviewed	Teddm1a Epdd1 Teddm1 Teddm1-1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P61407	reviewed	Tdrd6	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:17141210, ECO:0000269|PubMed:19345099, ECO:0000269|PubMed:27149095, ECO:0000269|PubMed:28263986}. Note=Present in chromatoid body (CB) of spermatids, also named processing bodies (P-bodies) in somatic cells (PubMed:17141210, PubMed:19345099, PubMed:27149095). Detected in the multilobular cytoplasmic CBs (also called intermitochondrial cementin) in pachytene spermatocytes and as a single perinuclear CB in haploid round spermatids (PubMed:17141210, PubMed:19345099). Colocalizes in CB with DDX4, PIWIL1, PIWIL2, TDRD1 and TDRD7 (PubMed:17141210, PubMed:19345099). {ECO:0000269|PubMed:17141210, ECO:0000269|PubMed:19345099, ECO:0000269|PubMed:27149095}.
Q91VP7	reviewed	Tmem101	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9CPV0	reviewed	Tmem107	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Cell projection, cilium. Note=Localizes at the transition zone, a region between the basal body and the ciliary axoneme. {ECO:0000269|PubMed:26518474}.
P62754	reviewed	Rps6	
Q149S1	reviewed	Tekt4	SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000269|PubMed:16596631, ECO:0000269|PubMed:17244819}. Note=Found in the abaxial (convex) surface of outer dense fibers in sperm flagella. {ECO:0000269|PubMed:16596631}.
Q922Z1	reviewed	Tmem159	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9CXT7	reviewed	Tmem192	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q8IY95}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q8IY95}. Late endosome {ECO:0000250|UniProtKB:Q8IY95}.
Q80YX1	reviewed	Tnc Hxb	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250}.
Q8VD26	reviewed	Tmem143	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q91VX9	reviewed	Tmem168	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8BYI9	reviewed	Tnr	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix.
P23475	reviewed	Xrcc6 G22p1 Ku70	SUBCELLULAR LOCATION: Nucleus. Chromosome.
Q9QZU9	reviewed	Ube2l6 Ubce8	
Q9QXE5	reviewed	Prss16 Tssp	SUBCELLULAR LOCATION: Cytoplasmic vesicle. Note=Vesicular, either lysosomal or endosomal.
Q6ZWY8	reviewed	Tmsb10 Ptmb10	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250}.
Q0KL01	reviewed	Ubxn2b	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:P0C627}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P0C627}. Endoplasmic reticulum {ECO:0000250|UniProtKB:P0C627}. Golgi apparatus {ECO:0000250|UniProtKB:P0C627}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:23649807}. Note=Localizes to centrosome during mitotic prophase and metaphase. {ECO:0000269|PubMed:23649807}.
D3Z3C6	reviewed	Zfand4 Anubl1	
P07146	reviewed	Prss2 Try2	SUBCELLULAR LOCATION: Secreted, extracellular space.
Q8R5H6	reviewed	Wasf1 Wave1	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:Q92558}. Cell junction, synapse {ECO:0000269|PubMed:24153177}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:Q92558}. Note=Dot-like pattern in the cytoplasm. Concentrated in Rac-regulated membrane-ruffling areas. Partial translocation to focal adhesion sites might be mediated by interaction with SORBS2. In neurons, colocalizes with activated NTRK2 after BDNF addition in endocytic sites through the association with TMEM108 (PubMed:27605705). {ECO:0000250|UniProtKB:Q92558, ECO:0000269|PubMed:27605705}.
P97764	reviewed	Wbp1	
Q0VGT4	reviewed	Zgrf1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q00731	reviewed	Vegfa Vegf	SUBCELLULAR LOCATION: [Isoform VEGF-1]: Secreted.; SUBCELLULAR LOCATION: [Isoform VEGF-2]: Secreted.; SUBCELLULAR LOCATION: [Isoform VEGF-3]: Cell membrane; Peripheral membrane protein. Note=Remains cell-surface associated unless released by heparin.
Q8C0M0	reviewed	Wdr59 Cdw12 Kiaa1923	SUBCELLULAR LOCATION: Lysosome membrane {ECO:0000250|UniProtKB:Q6PJI9}.
P99031	reviewed		
Q6ZPG2	reviewed	Wdr90 Kiaa1924	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000250|UniProtKB:Q96KV7}.
Q9CWR1	reviewed	Wdr73	SUBCELLULAR LOCATION: Cytoplasm, cytosol. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q6P4I2}. Cytoplasm, cytoskeleton, spindle pole {ECO:0000250|UniProtKB:Q6P4I2}. Cleavage furrow {ECO:0000250|UniProtKB:Q6P4I2}. Note=During interphase, located in the cytosol. During mitosis, accumulates at the spindle poles and microtubule asters and later in the cleavage furrow. {ECO:0000250|UniProtKB:Q6P4I2}.
P35969	reviewed	Flt1 Emrk2 Flt Vegfr1	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endosome {ECO:0000250}. Note=Autophosphorylation promotes ubiquitination and endocytosis. {ECO:0000250}.
Q8K0T7	reviewed	Unc13c	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}. Membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell junction, synapse, presynaptic cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Localized to presynaptic structures. {ECO:0000250}.
Q6R653	reviewed	Unc5cl Zud	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type III membrane protein {ECO:0000305}. Cytoplasm {ECO:0000250}.
Q8BLN6	reviewed	Unc80 Kiaa1843	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q64727	reviewed	Vcl	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P12003}; Peripheral membrane protein {ECO:0000250|UniProtKB:P12003}; Cytoplasmic side {ECO:0000250|UniProtKB:P12003}. Cell junction, adherens junction {ECO:0000250|UniProtKB:P12003}. Cell junction, focal adhesion {ECO:0000250|UniProtKB:P12003}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P85972}. Cell membrane, sarcolemma {ECO:0000269|PubMed:26359501}; Peripheral membrane protein {ECO:0000269|PubMed:26359501}; Cytoplasmic side {ECO:0000269|PubMed:26359501}. Note=Recruitment to cell-cell junctions occurs in a myosin II-dependent manner. Interaction with CTNNB1 is necessary for its localization to the cell-cell junctions. {ECO:0000250|UniProtKB:P12003}.
Q80VC6	reviewed	Trnau1ap Secp43 Trspap1	SUBCELLULAR LOCATION: Nucleus. Cytoplasm. Note=Abundant in the nucleus. {ECO:0000250}.
O08747	reviewed	Unc5c Rcm Unc5h3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22405201}; Single-pass type I membrane protein {ECO:0000255}. Cell surface {ECO:0000250|UniProtKB:O95185}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q761X5}. Cell projection, dendrite {ECO:0000269|PubMed:22685302}. Cell projection, axon {ECO:0000269|PubMed:22685302}. Cell projection, growth cone {ECO:0000269|PubMed:22685302, ECO:0000269|PubMed:28483977}. Cell projection, lamellipodium {ECO:0000269|PubMed:28483977}. Cell projection, filopodium {ECO:0000269|PubMed:28483977}.
Q8BGG0	reviewed	Slc30a8 Znt8	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}. Note=Associated with the insulin and glucagon secretory granules. {ECO:0000269|PubMed:19095428}.
Q3V080	reviewed	Znf583 Zfp583	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9Z2D0	reviewed	Mtmr9 Mtmr3	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24591580}. Cell projection, ruffle membrane {ECO:0000269|PubMed:24591580}; Peripheral membrane protein {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q96QG7}. Endoplasmic reticulum {ECO:0000250|UniProtKB:Q96QG7}. Note=Localizes to ruffles during EGF-induced macropinocytosis (PubMed:24591580). Colocalizes with MTMR6 to the perinuclear region (By similarity). Partially localizes to the endoplasmic reticulum (By similarity). {ECO:0000250|UniProtKB:Q96QG7, ECO:0000269|PubMed:24591580}.
Q9CQF4	reviewed	Mtres1	SUBCELLULAR LOCATION: Mitochondrion matrix {ECO:0000250|UniProtKB:Q9P0P8}.
Q99MH5	reviewed	Nme5	
Q9JIB0	reviewed	Rangrf Mog1 Rangnrf	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10811801, ECO:0000269|PubMed:11733047}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q9HD47}. Cytoplasm {ECO:0000269|PubMed:18184654}. Cell membrane {ECO:0000250|UniProtKB:Q9HD47}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q9HD47}; Cytoplasmic side {ECO:0000250|UniProtKB:Q9HD47}. Note=Shuttles between the nucleus and cytoplasm. {ECO:0000269|PubMed:11733047}.
Q8R3C6	reviewed	Rbm19	SUBCELLULAR LOCATION: Nucleus, nucleolus. Nucleus, nucleoplasm. Cytoplasm. Chromosome. Note=Colocalizes with NPM1 during interphase. By late prophase, metaphase, anaphase and telophase, associates with the chromosome periphery. By telophase localizes to nucleolar precursor body (NPB) (By similarity). In discrete foci distributed throughout the cytoplasm and nucleoplasm during the 4 to 8 cell stages and the morula stage, but not in the periphery of the NPB. During blastocyst development, becomes increasingly localized to the nucleolus and less to the cytoplasm. At the late blastocyst stage, localized predominantly in the nucleolus. Localized in the nucleolus during interphase and to the perichromosomal sheath during mitosis. Does not colocalize in the cytoplasm with GW182 in P-bodies. May translocate to the nucleolus upon early embryonic development. {ECO:0000250}.
Q7TPG7	reviewed	Tafa2 Fam19a2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:30137205}. Nucleus {ECO:0000269|PubMed:30137205}.
P17563	reviewed	Selenbp1 Lpsb	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q13228}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q13228}. Membrane {ECO:0000250|UniProtKB:Q8VIF7}; Peripheral membrane protein {ECO:0000250|UniProtKB:Q8VIF7}. Note=May associate with Golgi membrane (By similarity). May associate with the membrane of autophagosomes (By similarity). {ECO:0000250|UniProtKB:Q8VIF7}.
P23950	reviewed	Zfp36l1 Brf1 Tis11b	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11796723}. Cytoplasm {ECO:0000269|PubMed:11796723, ECO:0000269|PubMed:24700863, ECO:0000269|PubMed:24733888}. Cytoplasmic granule {ECO:0000250|UniProtKB:Q07352}. Cytoplasm, P-body {ECO:0000250|UniProtKB:Q07352}. Note=Shuttles between the nucleus and the cytoplasm in a XPO1/CRM1-dependent manner (PubMed:11796723). Component of cytoplasmic stress granules (By similarity). Localizes in processing bodies (PBs) (By similarity). {ECO:0000250|UniProtKB:Q07352, ECO:0000269|PubMed:11796723}.
P06335	reviewed		SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
Q8CH09	reviewed	Sugp2 Sfrs14 Srsf14	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q99N14	reviewed	Tac4	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
P60867	reviewed	Rps20	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
B2RVY9	reviewed	Tmem182	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8VCT9	reviewed	Tesk2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
P97499	reviewed	Tep1 Tp1	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Chromosome, telomere.
Q9Z1L4	reviewed	Rs1 Rs1h Xlrs1	SUBCELLULAR LOCATION: Secreted {ECO:0000250|UniProtKB:O15537}. Cell membrane {ECO:0000269|PubMed:17325137, ECO:0000305|PubMed:20677810}; Peripheral membrane protein {ECO:0000269|PubMed:17325137, ECO:0000269|PubMed:20677810}; Extracellular side {ECO:0000269|PubMed:17325137, ECO:0000305|PubMed:20677810}. Note=Binds to phosphatidylserine-containing lipid membranes and embeds itself partially into the lipid bilayer. Lipid-binding requires the presence of Ca(2+) ions. {ECO:0000269|PubMed:20677810}.
Q9JHJ7	reviewed	Prss21	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor, GPI-anchor {ECO:0000305}.
Q9D6H5	reviewed	Zdhhc4	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9NPG8}; Multi-pass membrane protein {ECO:0000255}.
Q64267	reviewed	Xpa Xpac	SUBCELLULAR LOCATION: Nucleus.
B7ZMP1	reviewed	Xpnpep3	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000250|UniProtKB:Q9NQH7}. Cytoplasm {ECO:0000250|UniProtKB:Q9NQH7}. Note=Mainly mitochondrial. Translocates to the cytoplasm following TNFRSF1B activation. {ECO:0000250|UniProtKB:Q9NQH7}.
Q9CX47	reviewed	Xrcc2	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q8BGK6	reviewed	Slc7a6 Kiaa0245	SUBCELLULAR LOCATION: Basolateral cell membrane {ECO:0000250|UniProtKB:Q92536}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q92536}.
P06325	reviewed	Tcrg-V1	
Q8C0R0	reviewed	Usp37 Kiaa1594	
P10755	reviewed	Zfp14 Kiaa1559 Krox-9 Zfp-14	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9JLM4	reviewed	Zmym3 Kiaa0385 Zfp261 Znf261	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10662551}.
Q8BH57	reviewed	Wdr48 Kiaa1449 Uaf1	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8TAF3}. Cytoplasm {ECO:0000250|UniProtKB:Q8TAF3}. Lysosome {ECO:0000250|UniProtKB:Q8TAF3}. Late endosome {ECO:0000250|UniProtKB:Q8TAF3}. Note=Mainly in cytoplasmic compartments. {ECO:0000250|UniProtKB:Q8TAF3}.
Q8BZW4	reviewed	Zfp120	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q8CE64	reviewed	Znf276 Zfp276	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}. Chromosome, centromere, kinetochore {ECO:0000250|UniProtKB:Q8N554}.
E9QAG8	reviewed	Znf431 Zfp431 Zfp932	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21177534}.
Q8VCW4	reviewed	Unc93b1 Unc93b	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane; Multi-pass membrane protein. Endosome. Lysosome. Cytoplasmic vesicle, phagosome. Note=Colocalizes with LAMP5 in large endosomal intracellular vesicles (By similarity). Relocalizes from endoplasmic reticulum to endosome and lysosome upon cell-stimulation with CpG dinucleotides. {ECO:0000250}.
Q9ERR8	reviewed	Znf319 Zfp319	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q9D2D7	reviewed	Znf687 Kiaa1441 Zfp687	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:Q8N1G0}. Nucleus {ECO:0000250|UniProtKB:Q8N1G0}. Note=Predominantly nuclear. {ECO:0000250|UniProtKB:Q8N1G0}.
Q8R0T2	reviewed	Znf768 Zfp768	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8BV42	reviewed	Znf786 Zfp786	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
P48614	reviewed	Wnt10b Wnt-10b Wnt10 Wnt12	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:O00744}. Secreted {ECO:0000250|UniProtKB:O00744}.
Q8BKT6	reviewed	Tspan12 Tm4sf12	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305|PubMed:19837033}; Multi-pass membrane protein {ECO:0000305|PubMed:19837033}.
Q9D1D1	reviewed	Tspan11	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q9DAU9	reviewed	Znf654 Zfp654	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q91YT7	reviewed	Ythdf2	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000305|PubMed:28867294}. Nucleus {ECO:0000250|UniProtKB:Q9Y5A9}. Cytoplasm, P-body {ECO:0000250|UniProtKB:Q9Y5A9}. Note=Localizes to the cytosol and relocates to the nucleus following heat shock stress. {ECO:0000250|UniProtKB:Q9Y5A9}.
A6H6E9	reviewed	Ttc23l	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000250|UniProtKB:Q6PF05}. Cytoplasm, cytoskeleton, spindle {ECO:0000250|UniProtKB:Q6PF05}. Midbody {ECO:0000250|UniProtKB:Q6PF05}. Note=Exhibits dynamic subcellular localization during the cell cycle. In prophase cells, detected on split centrosomes. Translocates to the mitotic spindles during metaphase and early anaphase, then to the midbody and cleavage furrow in late anaphase. {ECO:0000250|UniProtKB:Q6PF05}.
Q8VE09	reviewed	Ttc39c	
P28047	reviewed	Wnt7b Wnt-7b	SUBCELLULAR LOCATION: Secreted, extracellular space, extracellular matrix {ECO:0000250|UniProtKB:P56706}. Secreted {ECO:0000269|PubMed:15923619}.
P10761	reviewed	Zp3 Zp-3 Zpc	SUBCELLULAR LOCATION: [Processed zona pellucida sperm-binding protein 3]: Secreted, extracellular space, extracellular matrix {ECO:0000269|PubMed:19052627}. Note=Located in oocyte zona pellucida. {ECO:0000269|PubMed:19052627}.; SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:19052627}; Single-pass type I membrane protein {ECO:0000255}.
Q3UFS0	reviewed	Zyg11b Kiaa1730	
Q8BRU6	reviewed	Slc18a2 Vmat2	SUBCELLULAR LOCATION: Cytoplasmic vesicle membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
Q9WTR6	reviewed	Slc7a11	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P40336	reviewed	Vps26a Vps26	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15078902}. Endosome membrane {ECO:0000269|PubMed:15078902}; Peripheral membrane protein {ECO:0000269|PubMed:15078902}. Early endosome {ECO:0000269|PubMed:18088321, ECO:0000269|PubMed:21920005}. Note=Predominantly found in early not late endosomes. {ECO:0000269|PubMed:21920005}.
Q91ZB9	reviewed	Mrgprb5 Mrgb5	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q69ZX6	reviewed	Morc2a Kiaa0852 Zcwcc1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:29728365}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:Q9Y6X9}. Chromosome {ECO:0000250|UniProtKB:Q9Y6X9}. Nucleus matrix {ECO:0000250|UniProtKB:Q9Y6X9}. Note=Mainly located in the nucleus. Upon phosphorylation at Ser-737, recruited to damaged chromatin. {ECO:0000250|UniProtKB:Q9Y6X9}.
Q9R1X5	reviewed	Abcc5 Abcc5a Mrp5	SUBCELLULAR LOCATION: Membrane; Multi-pass membrane protein.
P27612	reviewed	Plaa Plap	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:28413018}. Cytoplasm {ECO:0000269|PubMed:28413018}. Cell junction, synapse {ECO:0000269|PubMed:28413018}. Note=Recruited to damaged lysosomes decorated with K48-linked ubiquitin chains. {ECO:0000250|UniProtKB:Q9Y263}.
